Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
UNTR,26300,-0.2843601895734597%,26375,26400,26550,26000,4707,27289,71796048,98102554
RALS,390,0%,390,390,394,386,470,26848,1045493,2767440
ELPI,680,-4.225352112676056%,710,710,710,655,1103,26590,1786870,6476606
BTPS,1035,-2.8169014084507045%,1065,1065,1065,1030,929,26576,2766007,7893596
HGII,140,1.4492753623188406%,138,138,141,138,302,26228,365130,910000
BOAT,137,-0.7246376811594203%,138,139,139,130,308,25434,343965,479730
INDS,260,-4.411764705882353%,272,270,270,260,722,25346,664364,1706249
UCID,515,0%,515,515,530,500,337,25165,1303560,2140635
NIRO,177,-4.324324324324325%,185,180,198,176,886,24995,465219,3929200
MBSS,2890,0.3472222222222222%,2880,2890,2890,2880,211,24831,7171755,5057577
KDTN,396,-1%,400,396,402,374,610,24707,966346,495009
KKGI,302,0%,302,306,306,298,490,24402,733284,1510000
DATA,1760,-2.4930747922437675%,1805,1805,1810,1745,1432,24257,4285729,2420000
CCSI,314,1.948051948051948%,308,308,320,286,603,24179,728368,418667
NICE,364,-1.0869565217391304%,368,346,368,346,522,24101,862250,2213855
BNGA,1730,-0.8595988538681949%,1745,1745,1745,1715,732,24099,4157042,43061056
BNII,191,0%,191,191,192,189,205,24098,457981,14393270
BMHS,200,0%,200,200,202,196,248,24044,477957,1720683
MTDL,505,-2.8846153846153846%,520,515,520,505,432,23297,1186394,6199827
SURI,85,0%,85,85,85,84,397,23248,195590,538422
PSDN,141,-0.7042253521126761%,142,140,144,137,444,23054,321592,203040
AALI,8600,2.0771513353115725%,8425,8425,8650,8400,1890,23008,19736465,16552320
BPTR,76,0%,76,76,77,74,267,22576,169904,268584
PTPS,165,-0.6024096385542169%,166,165,169,159,454,22217,366219,357640
SICO,115,0%,115,117,118,113,499,22211,255486,104659
ICBP,7125,-0.6968641114982579%,7175,7175,7175,7100,2394,22053,15704575,83091095
PICO,179,-3.2432432432432434%,185,186,188,173,699,21903,389878,101739
TPMA,486,-0.8163265306122449%,490,490,490,484,384,21591,1049013,1704606
DYAN,88,0%,88,89,89,86,230,21205,184504,376021
ASPI,490,1.6597510373443984%,482,482,540,472,792,20438,1027438,335067
EAST,89,-1.1111111111111112%,90,89,90,88,475,20353,181264,367250
MINE,286,2.142857142857143%,280,278,292,258,426,20253,565297,1168148
TOTL,1500,-0.6622516556291391%,1510,1485,1500,1465,776,20210,3001577,5115000
UNIQ,121,-0.819672131147541%,122,122,123,118,271,20112,243405,379817
MCAS,270,-4.929577464788732%,284,284,284,256,506,20073,542854,234342
ARKO,4590,-2.3404255319148937%,4700,4700,4700,4550,1749,19626,9001840,13441792
APLI,272,-2.857142857142857%,280,290,312,270,529,19355,547519,370647
SDRA,214,0%,214,216,216,210,193,19179,406260,3112687
SRTG,1805,-0.8241758241758242%,1820,1810,1810,1780,903,19141,3437656,24484527
MCOR,69,0%,69,69,70,68,139,19070,132142,2590297
MAIN,670,-2.898550724637681%,690,680,685,670,815,19024,1282882,1499963
AUTO,3300,-0.6024096385542169%,3320,3300,3340,3280,996,18538,6133149,15905119
UANG,3790,-7.785888077858881%,4110,4100,4100,3710,1392,18407,7057194,4585900
JECX,1340,-0.7407407407407408%,1350,1335,1370,1300,914,18279,2424360,4359318
SPTO,600,-2.4390243902439024%,615,610,610,600,631,18218,1098725,1620000
TLDN,615,-3.149606299212598%,635,635,635,605,473,18149,1114189,7962116
BVIC,95,-1.0416666666666665%,96,96,97,95,187,17896,171267,1732350
JSMR,2950,-1.3377926421404682%,2990,2990,2990,2920,1132,17895,5260886,21410720
OPMS,116,-0.8547008547008548%,117,115,117,110,461,17696,201344,116000
DAAZ,1670,2.769230769230769%,1625,1605,1735,1550,401,17629,2863570,3334990
BKSW,54,0%,54,54,54,53,187,17513,92846,1879549
TUGU,1410,-1.7421602787456445%,1435,1440,1445,1395,606,17449,2460595,5013362
AYLS,150,-1.9607843137254901%,153,154,154,135,421,17387,253671,128013
WTON,79,0%,79,78,79,78,233,17299,135525,688522
GTRA,248,-2.3622047244094486%,254,254,266,240,348,17124,425924,469805
PJHB,181,-1.092896174863388%,183,182,182,177,358,17031,306535,347704
PMUI,103,-0.9615384615384616%,104,104,104,100,257,16744,171053,597400
NELY,212,1.9230769230769231%,208,208,220,199,380,16699,347769,498200
BJBR,795,0%,795,795,795,785,563,16539,1307766,8280902
CITY,184,-4.66321243523316%,193,193,198,183,381,16420,313342,994555
PMJS,143,-2.054794520547945%,146,146,146,140,204,16342,235467,1967051
LPPF,1630,-1.2121212121212122%,1650,1650,1650,1620,944,16154,2632975,3630465
SATU,246,-1.6%,250,250,252,244,242,16024,401745,338250
LPPS,82,-1.2048192771084338%,83,83,83,79,412,16023,129473,212237
BATR,91,-1.0869565217391304%,92,93,93,85,231,15638,138668,275278
DOSS,164,-3.5294117647058822%,170,163,169,163,175,15594,257307,282900
CSIS,208,0%,208,208,216,206,482,15534,325941,380599
MPXL,169,0%,169,167,172,163,452,15304,256121,338002
WIIM,1615,2.2151898734177213%,1580,1580,1620,1555,692,14966,2372159,3391296
GGRP,330,-0.6024096385542169%,332,334,334,318,299,14865,488115,3996754
EMMI,348,-3.3333333333333335%,360,360,360,346,586,14856,522064,606514
RICY,79,-1.25%,80,80,80,77,164,14567,113520,50696
IKPM,183,-1.6129032258064515%,186,186,208,182,724,14103,271247,308293
MSTI,1365,-1.444043321299639%,1385,1385,1385,1355,699,14098,1926332,4285303
TSPC,2730,-0.36496350364963503%,2740,2730,2750,2700,246,14076,3831544,12311930
