Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
ROTI,585,-0.847457627118644%,590,590,590,585,199,3197,187312,3619096
MLPT,1150,-0.8620689655172413%,1160,1165,1200,1120,1031,99566,11869785,53906250
OKAS,115,-0.8620689655172413%,116,115,117,114,260,31641,364461,272947
ATIC,458,-0.8658008658008658%,462,458,460,454,16,287,13099,1325544
MKAP,1130,-0.8771929824561403%,1140,1140,1150,1130,574,23050,2633943,3672500
PNLF,220,-0.9009009009009009%,222,222,222,220,209,21307,469453,7044856
LINK,1640,-0.906344410876133%,1655,1700,1700,1580,94,315,50988,4695641
AKPI,545,-0.9090909090909091%,550,560,560,540,65,3456,189117,333675
ITIC,214,-0.9259259259259258%,216,220,220,214,139,4974,107462,201314
SKBM,535,-0.9259259259259258%,540,540,540,515,99,1632,85410,925605
NELY,208,-0.9523809523809524%,210,210,214,206,100,2759,57190,488800
ASDM,515,-0.9615384615384616%,520,520,520,515,9,52,2688,197760
MDLA,204,-0.9708737864077669%,206,204,206,204,130,6967,142394,2858616
BMAS,510,-0.9708737864077669%,515,515,520,500,136,4232,214566,9140034
RUIS,200,-0.9900990099009901%,202,202,206,200,135,4921,99484,154000
RMKE,396,-1%,400,400,406,392,4401,536671,21356693,8662500
BLES,195,-1.015228426395939%,197,197,199,192,798,124165,2432287,1733590
TIRA,390,-1.015228426395939%,394,394,400,360,167,1120,42922,229320
INDR,2920,-1.0169491525423728%,2950,2900,2950,2810,51,143,41000,1910707
MDKI,191,-1.0362694300518136%,193,193,195,191,62,1480,28496,483259
WAPO,189,-1.0471204188481675%,191,192,194,188,243,14909,281669,234534
STAR,378,-1.0471204188481675%,382,380,382,368,48,671,24968,1814400
KAQI,94,-1.0526315789473684%,95,94,95,91,1070,170228,1582718,195125
ICBP,6950,-1.0676156583629894%,7025,7000,7025,6900,2269,25553,17688225,81050261
INDO,183,-1.0810810810810811%,185,185,186,181,1620,333143,6098314,819976
NZIA,179,-1.1049723756906076%,181,181,181,173,2559,140390,2490077,393360
BKDP,176,-1.1235955056179776%,178,190,196,171,2741,201918,3670956,1322463
MLPL,87,-1.1363636363636365%,88,88,89,87,669,159288,1398415,1364362
SMGA,86,-1.1494252873563218%,87,86,87,84,422,49375,421462,752500
JKON,85,-1.1627906976744187%,86,86,86,84,461,79253,673988,1386224
MMIX,850,-1.1627906976744187%,860,860,860,735,1969,299656,25225390,4080362
DYAN,85,-1.1627906976744187%,86,86,86,84,148,8169,69678,363202
SURI,84,-1.1764705882352942%,85,85,88,84,777,86335,743310,532088
ESTI,167,-1.183431952662722%,169,169,171,165,756,35733,598146,336540
MPXL,166,-1.1904761904761905%,168,165,171,160,148,2276,37571,332002
TRGU,166,-1.1904761904761905%,168,168,184,166,340,16189,279366,1318939
BRIS,1645,-1.2012012012012012%,1665,1660,1690,1640,13459,314739,52112461,75123659
VICI,1210,-1.2244897959183674%,1225,1245,1250,1145,1501,110887,13254521,8116680
INCI,805,-1.2269938650306749%,815,810,810,805,39,924,74448,167164
SILO,1995,-1.2376237623762376%,2020,2000,2020,1995,540,6178,1241126,25947219
MTEL,478,-1.2396694214876034%,484,484,484,476,1339,88782,4251659,39941526
SGRO,4650,-1.2738853503184715%,4710,4710,4710,4500,75,187,86274,8456592
ENZO,77,-1.282051282051282%,78,79,80,76,1641,227077,1755596,166516
MSIN,304,-1.2987012987012987%,308,308,310,298,15959,528442,16004082,18445558
BEER,76,-1.2987012987012987%,77,78,78,76,708,80854,620138,304000
BPTR,74,-1.3333333333333335%,75,75,76,74,1032,14256,105988,261516
PBSA,740,-1.3333333333333335%,750,750,755,730,474,14516,1070798,2220000
CBDK,3660,-1.3477088948787064%,3710,3700,3760,3660,1149,23224,8596536,20748337
ITMA,1450,-1.3605442176870748%,1470,1470,1480,1440,47,165,24028,1448627
CCSI,434,-1.3636363636363635%,440,440,470,420,1723,61259,2730773,578667
ALII,715,-1.3793103448275863%,725,720,730,695,298,8413,595076,11315447
VINS,143,-1.3793103448275863%,145,146,146,142,81,3242,46313,222141
ASRM,286,-1.3793103448275863%,290,290,290,286,21,117,3373,365506
ELIT,284,-1.3888888888888888%,288,290,294,274,3008,248612,7022407,576987
BRRC,71,-1.3888888888888888%,72,72,73,70,563,77816,554332,70617
LAJU,70,-1.4084507042253522%,71,71,71,69,798,148769,1041486,150496
GGRM,17500,-1.4084507042253522%,17750,17750,17950,17500,1853,11399,20126118,33671540
DAYA,1035,-1.4285714285714286%,1050,1050,1050,990,39,144,14592,2505266
BNLI,2070,-1.4285714285714286%,2100,2100,2170,2030,107,1319,276903,74146460
UNTR,25700,-1.4381591562799616%,26075,26025,26400,25700,5071,30531,79034198,95864473
CHEM,68,-1.4492753623188406%,69,69,70,67,566,88789,606307,115601
MCAS,268,-1.4705882352941175%,272,286,292,262,1173,33635,929519,232606
INTD,268,-1.4705882352941175%,272,276,280,258,480,9746,258834,158610
GHON,1660,-1.483679525222552%,1685,1680,1680,1655,22,66,10966,913000
STRK,66,-1.4925373134328357%,67,67,68,65,417,63827,421748,707641
ASLC,65,-1.5151515151515151%,66,66,67,64,349,59832,390221,828513
RIGS,640,-1.5384615384615385%,650,645,650,625,96,1124,71154,389843
PTMP,63,-1.5625%,64,64,65,63,494,96220,611186,199660
BTON,378,-1.5625%,384,388,388,370,53,662,25369,272160
KBLM,378,-1.5625%,384,384,386,364,439,13797,515108,423360
BPFI,248,-1.5873015873015872%,252,252,254,240,47,672,16426,663151
HOMI,248,-1.5873015873015872%,252,252,260,244,217,14996,377015,390600
PNSE,492,-1.6%,500,500,500,466,56,321,15355,392524
WINS,610,-1.6129032258064515%,620,625,645,605,683,54249,3354068,2759070
FOLK,240,-1.639344262295082%,244,244,250,222,4247,345045,8129593,981926
PGAS,1495,-1.644736842105263%,1520,1520,1535,1490,9479,556281,83881029,36241055
JELI,474,-1.6597510373443984%,482,484,486,470,1442,34073,1618361,600084
BGTG,118,-1.6666666666666667%,120,118,121,117,348,39580,468706,2800292
KOCI,118,-1.6666666666666667%,120,123,128,116,2346,335051,4006549,527180
DOID,236,-1.6666666666666667%,240,238,240,234,450,29216,691010,1805638
LPKR,58,-1.694915254237288%,59,58,60,57,2174,975273,5672267,4112085
OPMS,116,-1.694915254237288%,118,118,118,114,305,21629,250519,116000
ERTX,173,-1.7045454545454544%,176,179,180,171,193,4564,78985,222571
WEHA,115,-1.7094017094017095%,117,114,117,112,2052,147989,1688154,167964
IMPC,1670,-1.7647058823529411%,1700,1705,1725,1670,4090,126578,21458455,91694690
ENAK,220,-1.7857142857142856%,224,230,230,218,462,2834,62486,476667
ASHA,55,-1.7857142857142856%,56,56,57,54,17618,563670,3136121,275000
SOHO,1630,-1.8072289156626504%,1660,1640,1655,1565,203,1443,233820,20687442
SMDM,540,-1.8181818181818181%,550,545,545,530,18,117,6319,2576955
LRNA,216,-1.8181818181818181%,220,214,220,214,72,1399,30148,75600
SKLT,210,-1.8691588785046727%,214,212,218,206,119,1996,41715,1450555
TRON,103,-1.9047619047619049%,105,105,111,102,5298,788904,8432647,303987
IFII,206,-1.9047619047619049%,210,210,210,204,260,6075,125411,1938872
BACH,406,-1.932367149758454%,414,414,422,402,3307,171605,7009312,1658279
AYAM,505,-1.9417475728155338%,515,510,515,492,1216,133907,6722780,2020000
GTSI,150,-1.9607843137254901%,153,152,158,148,1880,167577,2526524,2372871
APLI,286,-2.054794520547945%,292,300,300,278,173,5089,145639,389724
KDTN,374,-2.094240837696335%,382,376,390,372,510,26391,996798,467509
DFAM,93,-2.1052631578947367%,95,94,98,91,4387,609485,5761872,176686
MDIY,930,-2.1052631578947367%,950,950,950,915,297,11780,1115188,23427065
MPRO,11600,-2.109704641350211%,11850,11750,11750,11025,15,15,17218,115333000
BUVA,685,-2.142857142857143%,700,700,715,660,10161,931214,63492360,16862682
