Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
BGTG,119,-0.8333333333333334%,120,118,121,117,228,25671,304475,2824023
BELI,280,-2.097902097902098%,286,286,302,268,346,10802,298993,38421316
JTPE,605,0.8333333333333334%,600,600,610,600,56,4957,298732,4145490
RBMS,62,0%,62,62,63,61,346,48209,296482,164685
KBLM,370,-3.6458333333333335%,384,384,386,364,283,7835,291947,414400
NATO,955,-2.5510204081632653%,980,980,980,940,187,3045,290857,7641061
HATM,550,-2.6548672566371683%,565,555,555,540,140,5173,284583,5126000
CARS,115,1.7699115044247788%,113,113,115,111,118,25058,283814,1725000
NPGF,56,0%,56,56,57,55,197,50673,283491,181453
BAPA,126,0%,126,125,128,124,485,22318,280726,83385
SMGA,86,-1.1494252873563218%,87,86,87,84,301,32772,280008,752500
BLUE,3010,0.6688963210702341%,2990,3000,3030,2950,58,925,275167,1258180
TLDN,630,2.4390243902439024%,615,615,635,610,239,4374,273144,8156314
DOSS,174,0%,174,175,179,172,297,15538,272648,300150
SOLA,90,1.1235955056179776%,89,90,92,89,272,29879,271698,295864
DMMX,186,-0.53475935828877%,187,190,195,183,296,14470,271630,1430769
KDTN,386,1.0471204188481675%,382,376,390,376,202,7069,269580,482509
PNLF,222,0%,222,222,222,220,91,12185,268630,7108900
EMMI,330,-1.7857142857142856%,336,336,340,320,518,8126,267555,575143
PPRI,171,-1.1560693641618496%,173,173,175,166,242,15605,266152,183830
AIMS,520,7.883817427385892%,482,488,550,488,350,5073,264539,114400
IKBI,575,0%,575,575,580,565,177,4548,261509,703800
JRPT,1115,-0.4464285714285714%,1120,1115,1115,1100,6,2303,256780,14395452
MPOW,114,0%,114,115,115,112,339,22639,256635,93138
BEER,77,0%,77,78,78,76,286,33191,254743,308000
MBTO,153,1.3245033112582782%,151,151,154,151,209,16465,250216,163710
NICE,360,0.5586592178770949%,358,358,360,348,172,7044,249728,2189527
FISH,675,-3.571428571428571%,700,710,710,630,203,3693,240656,3240000
BOLA,176,0.5714285714285714%,175,171,178,168,150,13975,238819,1056000
CNMA,90,-1.098901098901099%,91,91,91,90,252,26223,238422,7501050
TRJA,133,-0.7462686567164178%,134,134,138,132,401,17571,235569,200857
MAIN,670,0.7518796992481203%,665,665,675,665,144,3468,231575,1499963
CSIS,202,-0.9803921568627451%,204,200,208,200,121,11486,231207,369620
TMAS,145,0.6944444444444444%,144,144,146,143,200,15708,226259,8272468
IPCC,1115,0.904977375565611%,1105,1105,1120,1105,170,2004,223075,2027499
JAST,89,1.1363636363636365%,88,88,90,87,352,25044,220610,96349
PEVE,304,-0.6535947712418301%,306,308,308,296,116,7156,217352,536750
TRGU,169,0.5952380952380952%,168,168,184,166,245,12250,213168,1342775
PANS,1655,0.30303030303030304%,1650,1650,1660,1645,63,1284,212246,1191600
HELI,220,1.8518518518518516%,216,226,228,210,254,9708,211099,183230
BANK,256,-1.5384615384615385%,260,260,260,256,146,8160,210753,3787053
FITT,434,0.9302325581395349%,430,426,450,426,356,4808,209978,566054
INTD,264,-2.941176470588235%,272,276,280,258,380,7875,209464,156243
ADMF,8675,-0.8571428571428572%,8750,8650,8750,8625,68,238,206088,10720592
PSDN,136,3.0303030303030303%,132,132,137,132,578,15121,203863,195840
SICO,115,1.7699115044247788%,113,113,116,113,203,17713,202490,104659
CFIN,372,-0.53475935828877%,374,370,374,362,161,5431,200631,1482242
CHEK,129,0%,129,129,134,128,264,14659,192524,530620
DILD,117,1.7391304347826086%,115,115,117,115,233,16417,190878,1212805
SULI,87,1.1627906976744187%,86,86,88,85,236,22062,190739,549908
BCIP,62,0%,62,62,63,61,229,30936,189348,88655
STRK,65,-2.9850746268656714%,67,67,67,65,241,28805,189232,696919
PBID,525,0%,525,525,530,520,94,3497,183866,3937500
IMJS,184,-0.5405405405405406%,185,183,190,183,192,9940,183130,1996264
SSTM,464,7.906976744186046%,430,432,490,430,478,3916,180190,543302
SILO,2000,-0.9900990099009901%,2020,2000,2010,2000,233,891,178744,26012250
ECII,168,-1.1764705882352942%,170,168,173,166,230,10591,178113,224168
INDS,256,1.5873015873015872%,252,252,256,250,263,6937,174679,1679999
ASRI,125,-0.7936507936507936%,126,126,126,124,175,13898,174391,2456176
BISI,740,2.7777777777777777%,720,725,740,715,130,2351,171104,2220000
OBMD,212,0.9523809523809524%,210,216,224,210,299,7982,171047,170871
ASLC,66,0%,66,66,67,65,201,26026,170673,841259
BBRM,119,0%,119,120,122,118,191,13908,165758,1009059
ADMG,250,-0.7936507936507936%,252,254,256,248,93,6395,159799,972295
MERI,119,0.847457627118644%,118,119,121,118,189,13442,159612,123181
JECC,855,-3.932584269662921%,890,905,910,820,260,1816,155287,646380
ACRO,65,1.5625%,64,64,65,63,180,23541,150773,225507
MAHA,144,0.6993006993006993%,143,145,145,142,191,10410,148806,2399904
BOAT,139,0.7246376811594203%,138,138,141,136,191,10783,148508,486734
EPMT,2650,0.7604562737642585%,2630,2690,2700,2630,44,543,145130,7177896
AKPI,545,-0.9090909090909091%,550,560,560,545,44,2579,141704,333675
OKAS,114,-1.7241379310344827%,116,115,117,114,159,11740,135494,270573
